county,date,measures,data_set_id
Clearfield,2016-03-31,"{""corrections_population"":2521}",3
Somerset,2015-07-31,"{""corrections_population"":2393}",3
N/A,2016-03-31,"{""corrections_population"":7}",3
Cumberland,2016-06-30,"{""corrections_population"":3270}",3
N/A,2016-06-30,"{""corrections_population"":155}",3
N/A,2016-05-31,"{""corrections_population"":151}",3
Somerset,2015-08-31,"{""corrections_population"":1531}",3
N/A,2016-06-30,"{""corrections_population"":593}",3
Mercer,2016-05-31,"{""corrections_population"":1436}",3
Clearfield,2015-12-31,"{""corrections_population"":2505}",3
Somerset,2016-01-31,"{""corrections_population"":2402}",3
Clearfield,2016-04-30,"{""corrections_population"":459}",3
Somerset,2015-08-31,"{""corrections_population"":2361}",3
Huntingdon,2015-09-30,"{""corrections_population"":1345}",3
Forest,2015-11-30,"{""corrections_population"":2281}",3
N/A,2016-07-31,"{""corrections_population"":277}",3
Clearfield,2015-07-31,"{""corrections_population"":2480}",3
Northumberland,2016-04-30,"{""corrections_population"":2279}",3
Luzerne,2016-01-31,"{""corrections_population"":1114}",3
N/A,2015-06-30,"{""corrections_population"":93}",3
Schuylkill,2016-06-30,"{""corrections_population"":2429}",3
Indiana,2016-07-31,"{""corrections_population"":932}",3
Erie,2016-02-29,"{""corrections_population"":2250}",3
Lycoming,2015-12-31,"{""corrections_population"":1399}",3
N/A,2016-04-30,"{""corrections_population"":7}",3
Centre,2016-05-31,"{""corrections_population"":2371}",3
N/A,2015-09-30,"{""corrections_population"":254}",3
Cumberland,2015-11-30,"{""corrections_population"":3468}",3
Somerset,2015-11-30,"{""corrections_population"":2387}",3
Luzerne,2016-02-29,"{""corrections_population"":2124}",3
Allegheny,2016-06-30,"{""corrections_population"":1883}",3
Luzerne,2016-05-31,"{""corrections_population"":1114}",3
Erie,2016-01-31,"{""corrections_population"":2249}",3
Luzerne,2015-10-31,"{""corrections_population"":1084}",3
Clearfield,2015-11-30,"{""corrections_population"":2496}",3
Somerset,2016-05-31,"{""corrections_population"":2413}",3
Schuylkill,2016-04-30,"{""corrections_population"":2438}",3
Huntingdon,2016-07-31,"{""corrections_population"":1332}",3
N/A,2015-07-31,"{""corrections_population"":237}",3
Crawford,2016-08-31,"{""corrections_population"":1198}",3
N/A,2015-11-30,"{""corrections_population"":231}",3
N/A,2016-03-31,"{""corrections_population"":256}",3
N/A,2016-02-29,"{""corrections_population"":148}",3
Clearfield,2016-08-31,"{""corrections_population"":2504}",3
Wayne,2016-03-31,"{""corrections_population"":1392}",3
Fayette,2016-02-29,"{""corrections_population"":2000}",3
Clearfield,2015-11-30,"{""corrections_population"":483}",3
Centre,2016-04-30,"{""corrections_population"":2377}",3
Lycoming,2016-07-31,"{""corrections_population"":1431}",3
Luzerne,2016-08-31,"{""corrections_population"":1132}",3
Montgomery,2015-08-31,"{""corrections_population"":3248}",3
Clearfield,2016-02-29,"{""corrections_population"":471}",3
Forest,2015-07-31,"{""corrections_population"":2301}",3
N/A,2016-01-31,"{""corrections_population"":85}",3
N/A,2015-10-31,"{""corrections_population"":113}",3
Schuylkill,2015-08-31,"{""corrections_population"":1187}",3
N/A,2016-04-30,"{""corrections_population"":152}",3
Cumberland,2016-07-31,"{""corrections_population"":3250}",3
Fayette,2015-08-31,"{""corrections_population"":2007}",3
Delaware,2015-06-30,"{""corrections_population"":1260}",3
N/A,2016-02-29,"{""corrections_population"":286}",3
Cumberland,2016-04-30,"{""corrections_population"":3363}",3
Luzerne,2015-12-31,"{""corrections_population"":1129}",3
Cumberland,2015-06-30,"{""corrections_population"":3541}",3
Centre,2016-01-31,"{""corrections_population"":2395}",3
Luzerne,2015-07-31,"{""corrections_population"":1092}",3
Lycoming,2016-02-29,"{""corrections_population"":1401}",3
Centre,2015-07-31,"{""corrections_population"":2377}",3
Clearfield,2015-07-31,"{""corrections_population"":479}",3
Montgomery,2016-05-31,"{""corrections_population"":3251}",3
Somerset,2015-10-31,"{""corrections_population"":2377}",3
Erie,2015-09-30,"{""corrections_population"":2246}",3
